intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|LUBBOCK|33.4906|-101.9315||114TH STREET,33.4906,-101.9315,4152.0,4856.0,704.0
LUBBOCK|LUBBOCK|33.4907|-101.8807||114TH STREET,33.4907,-101.8807,4152.0,5203.0,1051.0
LUBBOCK|LUBBOCK|33.4907|-101.8876|114TH STREET|INDIANA AVENUE,33.4907,-101.8876,135.5,55.0,-80.5
LUBBOCK|LUBBOCK|33.4907|-101.8876|INDIANA AVENUE|SH0114,33.4907,-101.8876,4152.0,4675.0,523.0
LUBBOCK|LUBBOCK|33.4907|-101.8883|114TH STREET|INDIANA AVENUE,33.4907,-101.8883,4152.0,4474.0,322.0
LUBBOCK|LUBBOCK|33.4907|-101.8985|114TH STREET|MIAMI AVENUE,33.4907,-101.8985,1312.0,1756.0,444.0
LUBBOCK|LUBBOCK|33.4907|-101.9029|114TH STREET|NORWOOD AVENUE,33.4907,-101.9029,4152.0,2942.0,-1210.0
LUBBOCK|LUBBOCK|33.4907|-101.9049|114TH STREET|QUAKER AVENUE,33.4907,-101.9049,135.5,57.0,-78.5
LUBBOCK|LUBBOCK|33.4907|-101.9051||114TH STREET,33.4907,-101.9051,4152.0,3229.0,-923.0
LUBBOCK|LUBBOCK|33.4907|-101.9123||114TH STREET,33.4907,-101.9123,1312.0,3567.0,2255.0
LUBBOCK|LUBBOCK|33.4907|-101.9124|114TH STREET|TOPEKA AVENUE,33.4907,-101.9124,2031.5,301.0,-1730.5
LUBBOCK|LUBBOCK|33.4907|-101.9223|114TH STREET|FM 1730,33.4907,-101.9223,15.5,17.0,1.5
LUBBOCK|LUBBOCK|33.4908|-101.8696|114TH STREET|UNIVERSITY AVENUE,33.4908,-101.8696,4152.0,5195.0,1043.0
LUBBOCK|LUBBOCK|33.4908|-101.8703|114TH STREET|UNIVERSITY AVENUE,33.4908,-101.8703,75.0,91.0,16.0
LUBBOCK|LUBBOCK|33.4908|-101.8727||114TH STREET,33.4908,-101.8727,1312.0,5028.0,3716.0
LUBBOCK|LUBBOCK|33.4908|-101.9570||MILWAUKEE AVENUE,33.4908,-101.957,4152.0,4439.0,287.0
LUBBOCK|LUBBOCK|33.4909|-101.8703||UNIVERSITY AVENUE,33.4909,-101.8703,4152.0,5036.0,884.0
LUBBOCK|LUBBOCK|33.4910|-101.8703||UNIVERSITY AVENUE,33.491,-101.8703,4152.0,4759.0,607.0
LUBBOCK|LUBBOCK|33.4910|-101.9570||MILWAUKEE AVENUE,33.491,-101.957,4152.0,5347.0,1195.0
LUBBOCK|LUBBOCK|33.4913|-101.9570||MILWAUKEE AVENUE,33.4913,-101.957,4152.0,3882.0,-270.0
LUBBOCK|LUBBOCK|33.4915|-101.9223||FM 1730,33.4915,-101.9223,4152.0,2061.0,-2091.0
LUBBOCK|LUBBOCK|33.4916|-101.9397||FRANKFORD AVENUE,33.4916,-101.9397,4152.0,1461.0,-2691.0
LUBBOCK|LUBBOCK|33.4921|-101.9049||QUAKER AVENUE,33.4921,-101.9049,4152.0,2261.0,-1891.0
LUBBOCK|LUBBOCK|33.4921|-101.9310||CHICAGO AVENUE,33.4921,-101.931,1312.0,4984.0,3672.0
LUBBOCK|LUBBOCK|33.4924|-101.9223||FM 1730,33.4924,-101.9223,4152.0,2984.0,-1168.0
LUBBOCK|LUBBOCK|33.4931|-101.9050||QUAKER AVENUE,33.4931,-101.905,1312.0,2784.0,1472.0
LUBBOCK|LUBBOCK|33.4942|-101.8876||INDIANA AVENUE,33.4942,-101.8876,4152.0,1483.0,-2669.0
LUBBOCK|LUBBOCK|33.4945|-101.8963||MEMPHIS AVENUE,33.4945,-101.8963,4152.0,1662.0,-2490.0
LUBBOCK|LUBBOCK|33.4957|-101.9045|109TH STREET|QUAKER AVENUE,33.4957,-101.9045,4152.0,4511.0,359.0
LUBBOCK|LUBBOCK|33.4960|-101.9050|108TH STREET|QUAKER AVENUE,33.496,-101.905,4152.0,3558.0,-594.0
LUBBOCK|LUBBOCK|33.4961|-101.8870||108TH STREET,33.4961,-101.887,4152.0,3302.0,-850.0
LUBBOCK|LUBBOCK|33.4961|-101.8876|108TH STREET|INDIANA AVENUE,33.4961,-101.8876,4152.0,4259.0,107.0
LUBBOCK|LUBBOCK|33.4964|-101.8876||INDIANA AVENUE,33.4964,-101.8876,4152.0,3973.0,-179.0
